,state,product,square_ft,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,label,number_of_na,grouped_postal_code,median_household_income
-8.88341e+18_8.72826e+18,CA,ho4,1302.0,False,False,False,11,2,0,23.0,debit,False,1,generall_postal_code,94498.0
-8.94539e+18_1.63261e+18,IL,ho4,1428.0,True,False,True,7,1,0,30.0,debit,False,1,generall_postal_code,41226.0
-9.21795e+18_5.79621e+18,MD,ho4,860.0,True,False,True,11,2,0,49.0,debit,False,1,generall_postal_code,120149.0
-9.06461e+18_3.58893e+18,CA,ho4,1302.0,False,False,False,8,1,0,36.0,debit,False,1,generall_postal_code,68720.0
-9.08937e+18_-4.96389e+18,WI,ho4,1099.0,True,False,False,11,3,0,23.0,debit,False,1,generall_postal_code,53868.0
-9.10434e+18_5.04297e+18,NY,ho4,800.0,True,False,False,5,1,0,34.0,debit,True,1,generall_postal_code,82352.0
-8.87989e+18_-1.03136e+18,MI,ho4,1600.0,False,False,True,12,5,0,24.0,debit,False,2,generall_postal_code,66508.0
-9.18171e+18_2.60399e+18,CA,ho4,1302.0,False,False,False,7,1,0,25.0,credit,False,1,generall_postal_code,74279.0
-8.99918e+18_-2.77492e+18,CA,ho4,1302.0,True,False,False,1,1,0,27.0,credit,False,1,generall_postal_code,66422.0
-9.03407e+18_-7.61029e+18,NY,ho4,800.0,True,False,False,3,1,0,30.0,debit,False,1,generall_postal_code,104441.0
-8.83531e+18_4.03282e+18,CA,ho4,1302.0,True,False,False,9,3,0,27.0,credit,False,1,generall_postal_code,64983.0
-8.92062e+18_-8.04866e+16,NY,ho4,800.0,True,False,False,2,1,0,74.0,debit,False,1,generall_postal_code,48734.0
-9.17799e+18_2.1622e+18,TX,ho4,1099.0,True,False,True,11,2,0,53.0,debit,False,1,generall_postal_code,49887.0
-8.82468e+18_-4.92986e+18,TX,ho4,1099.0,True,True,True,10,2,0,23.0,debit,False,1,generall_postal_code,64195.0
-8.89464e+18_-9.12021e+18,TX,ho4,1099.0,True,False,True,11,1,1,29.0,debit,False,1,generall_postal_code,136138.0
-9.07432e+18_1.82159e+18,TX,ho4,1099.0,True,False,True,9,4,0,74.0,credit,False,1,generall_postal_code,46104.0
-8.92401e+18_-4.63682e+18,CA,ho4,1302.0,True,False,False,4,2,2,36.0,credit,False,1,generall_postal_code,118971.0
-8.90138e+18_4.55952e+18,IL,ho4,550.0,True,True,False,8,1,0,29.0,debit,False,1,generall_postal_code,50488.0
-8.94007e+18_-8.28251e+17,TX,ho4,1099.0,False,False,False,11,5,2,35.0,debit,False,1,generall_postal_code,43116.0
-8.96649e+18_-9.40009e+17,CA,ho4,1302.0,False,False,False,11,2,0,56.0,credit,False,1,generall_postal_code,140890.0
-8.82301e+18_-7.50216e+18,NY,ho4,800.0,True,True,False,11,4,0,30.0,debit,False,1,generall_postal_code,46466.0
-8.93977e+18_2.80076e+18,NV,ho4,2990.0,True,False,False,12,1,0,35.0,debit,False,2,generall_postal_code,24023.0
-8.88631e+18_-1.37205e+18,CA,ho4,1302.0,True,False,False,11,2,0,23.0,debit,False,1,generall_postal_code,103974.0
-8.96373e+18_-5.16062e+18,CA,ho4,1302.0,True,False,False,2,2,0,27.0,debit,False,1,generall_postal_code,41870.0
-9.06366e+18_2.7912e+17,TX,ho4,1099.0,True,False,True,11,1,0,34.0,credit,False,1,generall_postal_code,54053.0
-9.0182e+18_4.72386e+18,CA,ho4,1302.0,True,False,False,9,2,0,39.0,debit,False,1,generall_postal_code,133769.0
-9.15369e+18_-6.38628e+17,TX,ho4,1099.0,True,False,True,11,1,0,32.0,debit,False,1,generall_postal_code,43112.0
-9.18967e+18_-3.45074e+18,TX,ho4,1099.0,True,False,True,11,1,0,34.0,debit,False,1,generall_postal_code,61583.0
-9.07852e+18_7.05459e+18,NY,ho4,750.0,True,False,False,4,1,1,27.0,debit,False,1,generall_postal_code,123842.0
-9.09552e+18_-7.65449e+18,PA,ho4,2000.0,True,False,True,12,5,0,28.0,debit,False,2,generall_postal_code,59668.0
-8.85347e+18_1.0593e+18,TX,ho4,1099.0,True,False,True,10,1,0,22.0,credit,False,1,generall_postal_code,51170.0
-8.99756e+18_-8.40433e+18,CA,ho4,1302.0,True,False,False,4,2,0,54.0,debit,False,1,generall_postal_code,141926.0
-9.1786e+18_-7.19062e+18,NY,ho4,745.0,False,False,False,3,1,0,31.0,debit,False,1,generall_postal_code,79013.0
-8.82673e+18_3.17255e+18,AR,ho4,1800.0,True,False,True,12,1,0,45.0,debit,False,2,generall_postal_code,44876.0
-8.87047e+18_-8.63051e+18,NJ,ho4,915.75,True,False,False,1,3,1,30.0,credit,False,1,generall_postal_code,113898.0
-8.94977e+18_1.46871e+18,CA,ho4,1604.0,True,True,False,7,2,0,22.0,debit,False,1,generall_postal_code,93410.0
-9.10168e+18_2.27311e+18,CA,ho4,1302.0,True,False,False,6,3,1,26.0,credit,False,1,generall_postal_code,92089.0
-8.8924e+18_-7.89421e+18,OH,ho4,1099.0,True,False,False,12,1,2,24.0,debit,False,2,generall_postal_code,51972.0
-9.06776e+18_4.09957e+18,TX,ho4,1099.0,True,False,True,11,2,0,26.0,debit,False,1,generall_postal_code,42843.0
-9.18534e+18_-1.38199e+17,CA,ho4,1302.0,True,False,False,4,2,0,18.0,debit,False,1,generall_postal_code,63638.0
-8.93818e+18_-8.80905e+18,IL,ho4,550.0,False,False,False,11,2,0,22.0,prepaid,False,1,generall_postal_code,66774.0
-9.14569e+18_8.84331e+18,CA,ho4,1302.0,True,False,False,11,2,1,26.0,credit,False,1,generall_postal_code,57481.0
-8.8835e+18_1.23757e+18,IL,ho4,550.0,True,True,True,11,3,0,21.0,credit,False,1,generall_postal_code,53550.0
-9.17709e+18_-3.81544e+18,TX,ho4,1099.0,False,False,True,11,1,0,19.0,debit,False,1,generall_postal_code,47073.0
-9.00694e+18_7.09641e+16,CA,ho4,655.0,True,False,False,5,1,0,32.0,debit,False,1,generall_postal_code,73601.0
-9.20023e+18_-4.67056e+18,NY,ho4,1080.0,True,False,False,5,1,2,29.0,credit,False,1,generall_postal_code,57866.0
-8.90384e+18_9.04975e+18,TX,ho4,1099.0,True,False,True,11,1,0,21.0,credit,False,1,generall_postal_code,66262.0
-8.90236e+18_-3.75112e+18,NY,ho6,1900.0,False,False,False,7,1,0,53.0,debit,False,0,generall_postal_code,58881.0
-8.93043e+18_-3.41707e+18,CA,ho4,1302.0,False,False,False,11,3,0,24.0,credit,False,1,generall_postal_code,106536.0
-9.22041e+18_6.79754e+18,GA,ho4,1416.0,True,False,True,11,2,0,25.0,credit,False,1,generall_postal_code,100380.0
-9.18588e+18_-4.22568e+18,GA,ho4,1416.0,True,True,True,11,1,2,30.0,debit,False,1,generall_postal_code,44586.0
-8.9243e+18_-3.40519e+18,IL,ho4,550.0,True,False,True,8,1,2,30.0,debit,False,1,generall_postal_code,41307.0
-9.15387e+18_2.00871e+18,TX,ho4,1099.0,True,False,False,11,1,0,30.0,credit,False,1,generall_postal_code,92313.0
-8.84074e+18_-8.62669e+18,OH,ho4,1099.0,False,False,False,12,3,0,19.0,debit,False,2,generall_postal_code,47797.0
-9.09919e+18_-2.79443e+18,NV,ho4,2990.0,False,True,False,12,2,0,37.0,debit,False,2,generall_postal_code,52796.0
-9.16619e+18_8.31421e+18,CA,ho6,966.0,True,True,False,11,2,1,32.0,debit,False,0,generall_postal_code,41307.0
-9.04287e+18_-3.59407e+18,CA,ho4,1302.0,True,False,False,2,1,0,23.0,credit,False,1,generall_postal_code,66422.0
-8.94169e+18_-2.50236e+18,CA,ho4,1302.0,False,False,False,3,2,1,44.0,credit,False,1,generall_postal_code,74523.0
-8.96047e+18_4.79502e+18,NY,ho4,550.0,True,False,False,5,1,0,34.0,debit,False,1,generall_postal_code,109250.0
-9.17403e+18_-4.78453e+18,NY,ho4,750.0,True,False,False,4,1,0,32.0,debit,False,1,generall_postal_code,123842.0
-9.04417e+18_-7.732e+18,IL,ho4,650.0,True,False,False,2,1,0,31.0,debit,False,1,generall_postal_code,28024.0
-8.9598e+18_-6.47178e+18,TX,ho4,1099.0,False,False,True,11,1,0,24.0,debit,False,1,generall_postal_code,53999.0
-8.80395e+18_-4.08631e+18,CA,ho4,1302.0,True,False,False,7,2,0,31.0,credit,False,1,generall_postal_code,134056.0
-8.88945e+18_1.97561e+18,GA,ho4,1416.0,False,False,False,11,1,0,29.0,debit,False,1,generall_postal_code,66748.0
-8.93982e+18_-3.05782e+18,TX,ho4,1099.0,True,False,True,11,2,0,18.0,debit,False,1,generall_postal_code,47774.0
-8.863e+18_-7.70452e+17,TX,ho4,1099.0,True,False,True,11,2,0,55.0,debit,False,1,generall_postal_code,93002.0
-9.14152e+18_6.04294e+18,TX,ho4,1099.0,False,False,False,11,1,1,26.0,debit,False,1,generall_postal_code,101140.0
-8.92771e+18_4.96553e+18,CA,ho4,1302.0,False,False,False,11,2,0,33.0,debit,False,1,generall_postal_code,74473.0
-9.05518e+18_-2.80641e+18,TX,ho4,1099.0,True,True,True,11,1,0,31.0,debit,False,1,generall_postal_code,66513.0
-8.92638e+18_3.27381e+18,TX,ho4,1099.0,True,False,False,11,2,1,26.0,debit,False,1,generall_postal_code,38640.0
-9.01393e+18_1.80287e+18,TX,ho4,1099.0,True,False,True,11,1,0,31.0,credit,False,1,generall_postal_code,62137.0
-8.8677e+18_-1.89363e+18,CA,ho4,1302.0,False,False,False,9,2,1,31.0,debit,False,1,generall_postal_code,76910.0
-9.08751e+18_-3.08095e+18,NY,ho3,1844.0,True,False,False,11,4,0,48.0,credit,False,0,generall_postal_code,84556.0
-8.8034e+18_2.94141e+18,IL,ho4,550.0,False,False,True,7,1,0,25.0,debit,False,1,generall_postal_code,96040.0
-9.16747e+18_4.51085e+17,NY,ho4,800.0,True,True,False,9,4,1,23.0,credit,False,2,generall_postal_code,82076.0
-9.10855e+18_-8.35253e+18,CA,ho4,1302.0,True,False,False,10,3,0,29.0,credit,False,1,generall_postal_code,132891.0
-8.94262e+18_3.975e+18,PA,ho4,2000.0,True,True,True,12,4,0,22.0,debit,False,2,generall_postal_code,63830.0
-8.84236e+18_-7.44868e+18,CA,ho4,1302.0,True,False,False,9,3,0,26.0,credit,False,1,generall_postal_code,50832.0
-9.12994e+18_5.26728e+18,TX,ho4,1099.0,False,False,False,11,3,0,66.0,credit,False,1,generall_postal_code,38944.0
-8.99106e+18_7.91709e+18,CA,ho4,1302.0,True,False,False,9,1,0,26.0,debit,False,1,generall_postal_code,38730.0
-9.0916e+18_-9.04495e+18,OH,ho4,1099.0,True,False,True,12,2,0,27.0,debit,False,2,generall_postal_code,47659.0
-9.08711e+18_-6.2985e+18,CA,ho4,1302.0,False,False,False,11,2,0,56.0,credit,False,1,generall_postal_code,47705.0
-8.89216e+18_-6.3379e+18,NY,ho4,700.0,True,False,False,2,1,0,32.0,credit,False,1,generall_postal_code,116446.0
-8.87696e+18_-4.8326e+18,DC,ho4,848.0,True,False,True,8,2,0,24.0,debit,False,2,generall_postal_code,102941.0
-8.80904e+18_-7.77689e+18,CA,ho4,1302.0,True,False,False,8,1,0,25.0,credit,False,1,generall_postal_code,81394.0
-9.0958e+18_-7.99367e+18,NY,ho4,605.0,True,False,False,5,1,0,34.0,credit,False,1,generall_postal_code,93707.0
-9.06257e+18_1.47054e+18,TX,ho4,1099.0,True,False,True,11,3,1,21.0,debit,False,1,generall_postal_code,46347.0
-9.1801e+18_-4.78394e+17,CA,ho4,1302.0,False,False,False,9,1,0,59.0,debit,False,1,generall_postal_code,41283.0
-8.91744e+18_-1.44033e+18,NY,ho4,800.0,True,False,False,1,1,0,22.0,credit,False,1,generall_postal_code,85032.0
-9.18123e+18_-5.04082e+17,CA,ho4,1302.0,False,False,False,1,2,0,28.0,debit,False,1,generall_postal_code,51302.0
-9.10303e+18_-7.48197e+18,NY,ho4,800.0,True,False,False,11,3,2,39.0,debit,False,1,generall_postal_code,47210.0
-9.15493e+18_1.73516e+17,TX,ho4,1099.0,True,False,True,11,2,0,33.0,debit,False,1,generall_postal_code,68912.0
-9.20228e+18_8.72124e+18,TX,ho4,1099.0,False,False,True,11,1,0,25.0,debit,False,1,generall_postal_code,47297.0
-8.9601e+18_2.29313e+18,NJ,ho4,915.75,True,True,True,7,4,0,26.0,credit,False,1,generall_postal_code,79868.0
-9.06516e+18_7.25612e+18,TX,ho4,1099.0,True,True,True,11,3,0,42.0,debit,False,1,generall_postal_code,39392.0
-8.80526e+18_-1.11718e+17,TX,ho4,1099.0,True,True,True,11,2,0,21.0,debit,False,1,generall_postal_code,56396.0
-8.92052e+18_6.69204e+18,CA,ho3,1650.0,False,True,False,8,3,0,51.0,debit,False,0,generall_postal_code,103215.0
-8.83105e+18_-7.48565e+18,TX,ho4,1099.0,True,True,True,11,1,0,34.0,credit,False,1,generall_postal_code,54053.0
-9.13008e+18_6.40247e+18,CA,ho4,1337.0,True,False,False,3,1,0,19.0,debit,False,1,generall_postal_code,79979.0
-8.9329e+18_-1.34208e+17,GA,ho4,1416.0,False,False,True,11,3,1,24.0,debit,False,1,generall_postal_code,82759.0
-8.80965e+18_6.18466e+18,TX,ho4,1099.0,True,False,False,11,1,0,37.0,debit,False,1,generall_postal_code,73047.0
-8.95956e+18_1.40412e+18,NY,ho4,800.0,True,False,False,3,1,1,26.0,credit,False,1,generall_postal_code,104561.0
-9.05668e+18_-7.17642e+18,CA,ho4,1302.0,True,True,False,11,2,0,31.0,prepaid,False,1,generall_postal_code,67415.0
-9.02923e+18_-6.63017e+18,CA,ho4,1302.0,True,False,False,2,3,1,33.0,credit,False,1,generall_postal_code,103948.0
-8.80622e+18_-4.25686e+18,NY,ho4,1750.0,True,False,False,2,1,0,27.0,credit,False,1,generall_postal_code,106056.0
-8.83018e+18_-5.0459e+17,NY,ho6,1200.0,True,False,False,2,1,1,42.0,debit,False,0,generall_postal_code,53426.0
-9.09692e+18_-6.14204e+18,TX,ho4,1099.0,True,False,True,11,1,0,69.0,debit,False,1,generall_postal_code,46186.0
-9.12162e+18_-8.98071e+18,DC,ho4,848.0,True,False,True,12,2,0,31.0,debit,False,2,generall_postal_code,118607.0
-8.85431e+18_-3.88854e+18,NJ,ho4,915.75,True,False,False,3,3,0,29.0,credit,False,1,generall_postal_code,113898.0
-8.99715e+18_-7.83143e+18,TX,ho4,1099.0,True,False,True,11,3,2,29.0,credit,False,1,generall_postal_code,101240.0
-8.94936e+18_-7.94742e+18,CA,ho4,1302.0,False,False,False,11,2,0,27.0,debit,False,1,generall_postal_code,65690.0
-8.89902e+18_-3.0799e+18,CA,ho4,1302.0,True,False,False,6,1,0,24.0,credit,False,1,generall_postal_code,65572.0
-9.11691e+18_-2.73725e+18,CA,ho4,1302.0,True,False,False,4,1,0,28.0,credit,False,1,generall_postal_code,26758.0
-9.11905e+18_4.43572e+17,CA,ho4,1302.0,False,False,False,8,1,0,53.0,debit,False,1,generall_postal_code,82554.0
-9.19174e+18_-2.54512e+18,TX,ho4,1099.0,True,False,False,11,1,0,24.0,debit,False,1,generall_postal_code,52854.0
-8.87115e+18_1.55591e+18,CA,ho4,1302.0,True,False,False,6,1,0,18.0,credit,False,1,generall_postal_code,72970.0
-9.17808e+18_7.98661e+18,OH,ho4,1099.0,True,False,False,12,3,0,28.0,debit,False,2,generall_postal_code,51771.0
-8.97623e+18_-2.55678e+18,GA,ho4,1416.0,True,False,True,11,2,0,35.0,credit,False,1,generall_postal_code,63935.0
-8.90917e+18_-4.31453e+18,CA,ho4,1337.0,True,False,False,3,1,1,33.0,credit,False,1,generall_postal_code,79979.0
-8.89203e+18_-7.1648e+18,GA,ho4,1416.0,True,False,True,11,1,0,18.0,debit,False,1,generall_postal_code,48280.0
-9.14809e+18_9.05403e+18,CA,ho4,1302.0,True,False,False,2,1,0,42.0,debit,False,1,generall_postal_code,143467.0
-9.15345e+18_7.12354e+18,NY,ho4,604.0,True,False,False,2,1,0,31.0,credit,False,1,generall_postal_code,93575.0
-9.09505e+18_1.667e+17,PA,ho4,2000.0,True,False,False,12,4,0,46.0,debit,False,2,generall_postal_code,68614.0
-9.1547e+18_-8.11282e+17,TX,ho4,1099.0,True,True,True,11,1,1,36.0,credit,False,1,generall_postal_code,74458.0
-9.22171e+18_2.38646e+18,NY,ho4,550.0,True,False,False,4,1,1,27.0,credit,False,1,generall_postal_code,109250.0
-8.98763e+18_-9.80431e+17,CA,ho4,1302.0,False,False,False,11,3,1,54.0,debit,False,1,generall_postal_code,36106.0
-9.18451e+18_9.05853e+18,NY,ho4,800.0,False,False,False,3,1,0,25.0,debit,False,1,generall_postal_code,104441.0
-8.89076e+18_2.77498e+18,CA,ho4,1302.0,True,False,False,8,2,1,24.0,credit,False,1,generall_postal_code,112935.0
-9.05387e+18_-6.40444e+18,NJ,ho4,915.75,True,False,False,2,3,0,35.0,debit,False,1,generall_postal_code,113898.0
-8.82988e+18_6.79356e+18,NJ,ho4,915.75,True,False,True,9,2,0,20.0,debit,False,1,generall_postal_code,40368.0
-8.90758e+18_3.5467e+18,CA,ho4,1302.0,True,False,False,8,1,0,29.0,credit,False,1,generall_postal_code,32979.0
-8.83502e+18_-1.13531e+18,TX,ho4,1099.0,True,False,False,11,1,0,39.0,debit,True,1,generall_postal_code,69440.0
-8.91302e+18_-5.92797e+18,OR,ho4,1099.0,True,False,True,11,2,0,22.0,credit,False,1,generall_postal_code,69553.0
-8.81789e+18_-1.62913e+18,CA,ho4,1302.0,True,False,False,8,3,1,35.0,credit,False,1,generall_postal_code,76910.0
-9.2e+18_-7.40213e+18,TX,ho4,1099.0,True,True,False,11,2,0,24.0,debit,False,1,generall_postal_code,38878.0
-9.18328e+18_-2.51564e+18,CA,ho4,1302.0,True,True,False,9,2,0,38.0,prepaid,False,1,generall_postal_code,133769.0
-9.05762e+18_3.52958e+18,CA,ho4,1302.0,False,False,False,9,1,0,44.0,credit,False,1,generall_postal_code,71654.0
-9.17328e+18_-8.28688e+18,PA,ho4,2000.0,True,False,True,12,1,0,33.0,credit,False,2,generall_postal_code,51829.0
-8.88824e+18_-5.17345e+18,IL,ho4,550.0,True,False,True,8,1,0,26.0,debit,False,1,generall_postal_code,50488.0
-8.97326e+18_-2.69016e+18,TX,ho4,1099.0,False,False,True,6,2,0,25.0,debit,False,1,generall_postal_code,42995.0
-9.17453e+18_-1.06029e+18,NY,ho4,800.0,True,False,False,1,1,0,19.0,debit,False,1,generall_postal_code,154213.0
-9.19116e+18_-4.80059e+18,NY,ho4,800.0,True,False,False,5,1,0,29.0,credit,False,1,generall_postal_code,124322.0
-9.21724e+18_-4.42728e+18,NY,ho4,800.0,False,False,False,5,1,0,44.0,credit,False,2,generall_postal_code,124322.0
-9.14925e+18_2.63191e+18,CA,ho4,1302.0,False,False,False,11,4,0,25.0,debit,False,1,generall_postal_code,44166.0
-9.09643e+18_7.6246e+18,OH,ho4,1099.0,True,False,True,12,2,0,21.0,debit,False,2,generall_postal_code,56316.0
-9.06989e+18_9.04639e+18,PA,ho4,2000.0,True,False,True,12,1,0,38.0,debit,False,2,generall_postal_code,26804.0
-8.86202e+18_-6.96865e+18,CA,ho4,1302.0,True,True,False,11,3,0,28.0,credit,False,1,generall_postal_code,53750.0
-9.02089e+18_-1.13661e+18,OH,ho4,1099.0,True,False,False,12,3,0,20.0,prepaid,False,2,generall_postal_code,87004.0
-9.22324e+18_-6.78395e+18,TX,ho4,1099.0,False,False,False,7,1,1,27.0,debit,False,1,generall_postal_code,52167.0
-9.14648e+18_-7.48747e+17,TX,ho4,1099.0,True,False,True,11,1,1,22.0,debit,False,1,generall_postal_code,53999.0
-8.82385e+18_-5.26444e+18,NY,ho4,800.0,True,False,False,9,4,0,53.0,credit,False,1,generall_postal_code,100472.0
-8.83125e+18_-8.78156e+18,NV,ho4,2990.0,True,False,True,12,2,1,19.0,debit,False,2,generall_postal_code,48978.0
-9.0334e+18_7.89503e+17,TX,ho4,1099.0,True,False,False,11,1,0,79.0,debit,False,1,generall_postal_code,44079.0
-9.11063e+18_-2.60787e+18,NJ,ho4,915.75,True,False,True,7,3,0,27.0,credit,False,1,generall_postal_code,69932.0
-8.92797e+18_-1.09376e+18,CA,ho4,1302.0,True,False,False,2,1,0,28.0,credit,False,1,generall_postal_code,134809.0
-8.97376e+18_-6.81408e+18,IL,ho4,550.0,True,False,True,7,1,0,26.0,debit,False,1,generall_postal_code,107811.0
-9.03204e+18_-5.1317e+18,CA,ho4,1302.0,True,False,False,4,1,1,28.0,credit,False,1,generall_postal_code,132979.0
-8.87853e+18_-6.93018e+18,CA,ho4,1302.0,True,False,False,7,2,0,77.0,credit,False,1,generall_postal_code,65990.0
-9.08477e+18_9.87823e+17,CA,ho4,1302.0,False,False,False,11,3,0,31.0,debit,False,1,generall_postal_code,131976.0
-8.95236e+18_6.77275e+17,IL,ho4,550.0,True,False,True,9,1,1,29.0,debit,False,1,generall_postal_code,39163.0
-8.9821e+18_9.16774e+18,NY,ho4,800.0,True,False,False,6,1,0,24.0,debit,False,1,generall_postal_code,50909.0
-8.93878e+18_-4.60395e+18,AR,ho4,1800.0,True,False,False,12,3,2,21.0,credit,False,2,generall_postal_code,43224.0
-8.98655e+18_7.09645e+18,NJ,ho4,915.75,True,False,False,3,3,0,28.0,credit,False,1,generall_postal_code,147357.0
-9.14217e+18_-8.09705e+18,CA,ho4,1302.0,True,False,False,4,1,0,32.0,credit,False,1,generall_postal_code,132979.0
-9.17285e+18_-3.04898e+18,CA,ho4,1302.0,True,True,False,6,2,1,46.0,credit,False,1,generall_postal_code,141926.0
-9.21435e+18_-5.20151e+18,TX,ho4,1099.0,False,False,False,11,1,1,24.0,debit,False,1,generall_postal_code,84493.0
-8.83318e+18_-5.84749e+16,CA,ho4,1302.0,True,False,False,2,1,1,30.0,debit,False,1,generall_postal_code,81626.0
-8.91411e+18_4.61437e+18,TX,ho4,1099.0,True,False,True,11,2,0,24.0,prepaid,False,1,generall_postal_code,73885.0
-8.84129e+18_-1.96355e+18,NY,ho4,1325.0,True,True,False,3,1,0,31.0,credit,False,2,generall_postal_code,116893.0
-9.20125e+18_-8.02936e+18,NJ,ho4,915.75,True,False,True,10,5,0,25.0,debit,False,1,generall_postal_code,135975.0
-9.02098e+18_4.96623e+18,TX,ho4,1099.0,True,True,True,11,2,0,47.0,credit,False,1,generall_postal_code,135952.0
-9.11007e+18_8.59397e+18,NY,ho4,1280.0,True,False,False,4,1,2,34.0,credit,False,1,generall_postal_code,115084.0
-8.87069e+18_-6.25045e+18,TX,ho4,1099.0,True,False,True,11,1,0,22.0,debit,False,1,generall_postal_code,39049.0
-8.94415e+18_7.56524e+18,CA,ho4,1302.0,True,False,False,3,1,0,28.0,credit,False,1,generall_postal_code,33552.0
-8.95974e+18_1.27589e+18,AR,ho4,1800.0,True,True,True,7,2,1,19.0,debit,False,1,generall_postal_code,45042.0
-9.01858e+18_1.85837e+18,TX,ho4,1099.0,False,False,False,11,2,0,45.0,debit,False,1,generall_postal_code,46186.0
-8.87095e+18_7.86807e+18,CA,ho4,1302.0,True,False,False,11,4,0,38.0,debit,False,1,generall_postal_code,37883.0
-9.03323e+18_-8.73756e+17,TX,ho4,1099.0,True,False,True,11,1,0,28.0,credit,False,1,generall_postal_code,39049.0
-9.10582e+18_4.74254e+18,NY,ho4,800.0,True,False,False,5,1,1,25.0,debit,False,1,generall_postal_code,118469.0
-9.12444e+18_-3.82803e+18,TX,ho4,1099.0,True,False,True,11,3,0,24.0,debit,False,1,generall_postal_code,55603.0
-8.81469e+18_1.81713e+18,TX,ho4,1099.0,True,True,True,11,2,0,74.0,debit,False,1,generall_postal_code,69699.0
-8.8078e+18_5.43837e+18,CA,ho4,1302.0,True,False,False,8,1,0,25.0,credit,False,1,generall_postal_code,36996.0
