,state,product,square_ft,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,label,number_of_na,median_household_income
-9.06823e+18_-6.50119e+18,AR,ho4,1099.0,True,False,0.0,-1,3,1,28.0,debit,False,2,65969.0
-9.10831e+18_-2.49788e+18,IA,ho4,1099.0,False,False,1.0,-1,3,0,22.0,credit,False,2,79336.0
-8.82673e+18_3.17255e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,45.0,debit,False,2,44876.0
-9.04116e+18_-6.67875e+18,CT,ho4,2011.5,True,False,1.0,1.0,2,0,56.0,credit,False,1,55299.0
-9.02455e+18_8.59144e+18,WI,ho4,1099.0,True,False,1.0,1.0,1,0,23.0,credit,False,1,52441.0
-9.01072e+18_8.69733e+18,RI,ho4,1400.0,True,False,1.0,10.0,3,0,21.0,debit,False,1,40455.0
-9.07924e+18_4.97969e+17,WI,ho4,1099.0,True,False,0.0,30.0,3,1,33.0,debit,False,1,38843.0
-9.15336e+18_-9.00649e+18,AR,ho4,1099.0,True,False,1.0,-1,1,0,21.0,debit,False,2,42306.0
-8.96451e+18_-5.97636e+18,WI,ho4,1099.0,False,False,1.0,30.0,1,0,37.0,debit,False,1,77514.0
-8.92863e+18_8.69956e+18,AR,ho4,1099.0,True,False,1.0,-1,1,0,19.0,debit,False,2,37660.0
-8.83897e+18_5.80368e+18,NM,ho4,1099.0,False,True,1.0,-1,1,0,22.0,credit,False,2,28372.0
-8.90798e+18_1.16596e+18,IA,ho4,1099.0,False,False,0.0,-1,2,0,21.0,debit,False,2,38024.0
-8.95974e+18_1.27589e+18,RI,ho4,1400.0,True,True,1.0,10.0,2,1,19.0,debit,False,1,45042.0
-9.05049e+18_-6.3598e+17,WI,ho4,1099.0,True,False,1.0,30.0,1,0,22.0,credit,False,1,65385.0
-9.0731e+18_-1.47021e+18,IN,ho4,1099.0,True,True,1.0,30.0,2,0,26.0,debit,False,1,41773.0
-9.01019e+18_-3.2546e+18,CT,ho4,2011.5,True,False,0.0,30.0,8,0,24.0,debit,False,1,100179.0
-8.90923e+18_-8.00803e+18,WI,ho4,1099.0,True,False,1.0,10.0,3,0,48.0,debit,False,1,71393.0
-9.17348e+18_3.48078e+18,CT,ho4,2011.5,True,False,0.0,3.0,4,0,32.0,debit,False,1,68500.0
-8.91466e+18_-8.01297e+18,WI,ho4,1099.0,True,False,1.0,30.0,1,0,21.0,debit,False,1,36631.0
-9.0706e+18_-8.88302e+18,NM,ho4,1099.0,True,True,1.0,-1,1,0,31.0,debit,False,2,67414.0
-9.12401e+18_6.4348e+18,NM,ho4,1099.0,False,False,1.0,-1,2,0,39.0,debit,False,2,42052.0
-9.11073e+18_-5.1482e+17,CT,ho4,2011.5,True,True,1.0,3.0,5,0,27.0,credit,False,1,108167.0
-9.15736e+18_4.59147e+18,WI,ho4,1099.0,True,False,1.0,20.0,3,0,45.0,credit,False,1,79230.0
-8.86667e+18_-4.7711e+18,IN,ho4,1099.0,True,False,1.0,30.0,2,0,35.0,credit,False,1,18054.0
-9.0472e+18_-9.12799e+18,WI,ho4,1099.0,True,False,1.0,30.0,3,0,32.0,debit,False,1,62500.0
-9.07924e+18_2.04173e+18,WI,ho4,1099.0,True,False,0.0,30.0,3,0,33.0,debit,False,1,38843.0
-8.94674e+18_1.18344e+17,WI,ho4,1099.0,True,False,1.0,30.0,1,0,24.0,debit,False,1,36631.0
-9.15514e+18_7.57657e+18,CT,ho4,2011.5,True,False,1.0,30.0,2,0,42.0,debit,False,1,50361.0
-9.20003e+18_2.57813e+17,WI,ho4,1099.0,False,False,1.0,5.0,1,0,33.0,debit,False,1,44343.0
-8.98576e+18_-4.08141e+18,WI,ho4,1099.0,True,False,1.0,2.0,1,0,27.0,debit,False,1,58646.0
-8.8611e+18_-6.87366e+18,NM,ho4,1099.0,True,False,0.0,-1,1,0,31.0,debit,False,2,65635.0
-8.82562e+18_-5.94051e+18,WI,ho4,1099.0,False,False,0.0,30.0,3,0,25.0,credit,False,1,89518.0
-8.88356e+18_4.39895e+18,WI,ho4,1099.0,True,True,1.0,5.0,1,0,50.0,debit,False,1,44343.0
-9.08716e+18_-4.1891e+18,IA,ho4,1099.0,True,True,1.0,-1,3,0,21.0,debit,False,2,79518.0
-8.86738e+18_-8.00055e+18,RI,ho4,1400.0,True,True,0.0,10.0,2,0,25.0,credit,False,1,53159.0
-8.8052e+18_-4.95902e+18,NM,ho4,1099.0,True,True,1.0,-1,1,0,27.0,debit,False,2,67414.0
-9.18062e+18_-5.21997e+18,IA,ho4,1099.0,True,False,0.0,-1,2,0,35.0,debit,False,2,75921.0
-9.12984e+18_-9.20779e+18,WI,ho4,1099.0,True,False,0.0,0.0,1,1,23.0,credit,False,1,28218.0
-9.19742e+18_7.92624e+18,WI,ho4,1099.0,True,False,0.0,25.0,2,0,46.0,debit,False,1,64478.0
-8.82801e+18_8.1069e+18,RI,ho4,1400.0,True,False,1.0,15.0,3,1,34.0,credit,False,1,81810.0
-9.06003e+18_-4.42498e+18,NM,ho4,1099.0,True,True,1.0,-1,1,1,33.0,debit,False,3,46613.0
-8.98674e+18_7.29049e+18,WI,ho4,1099.0,False,False,0.0,10.0,1,0,48.0,debit,False,1,52468.0
-8.79648e+18_6.92395e+18,IA,ho4,1099.0,True,False,1.0,-1,2,0,19.0,debit,False,2,42741.0
-9.1258e+18_8.38295e+18,IA,ho4,1099.0,True,False,1.0,-1,4,0,26.0,debit,False,2,51678.0
-9.16171e+18_2.39905e+18,CT,ho4,2011.5,True,False,1.0,30.0,5,0,23.0,credit,False,1,112740.0
-9.18792e+18_-6.42698e+18,CT,ho3,2223.0,True,True,1.0,1.0,3,1,73.0,credit,False,0,93887.0
-9.16736e+18_-7.27952e+18,WI,ho4,1099.0,True,False,1.0,10.0,3,0,24.0,debit,False,1,71393.0
-9.1992e+18_2.01068e+18,CT,ho4,2011.5,True,False,1.0,30.0,4,0,65.0,credit,False,1,103625.0
-9.05611e+18_-6.9578e+18,WI,ho4,1099.0,True,False,0.0,10.0,4,0,26.0,debit,False,1,64622.0
-8.9211e+18_8.25431e+18,WI,ho4,1099.0,False,False,1.0,2.0,1,0,25.0,debit,False,1,38658.0
-8.81823e+18_-7.89611e+18,WI,ho4,1099.0,True,False,0.0,30.0,2,0,51.0,credit,False,1,45286.0
-9.09834e+18_-6.68382e+18,IA,ho4,1099.0,True,True,1.0,-1,2,0,59.0,credit,False,2,38024.0
-8.87521e+18_-3.38503e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,36.0,credit,False,2,55707.0
-9.04095e+18_-2.37989e+18,IA,ho4,1099.0,True,True,1.0,-1,2,2,24.0,credit,False,2,75921.0
-9.2072e+18_-4.37856e+18,IN,ho4,1099.0,True,False,0.0,30.0,4,0,34.0,debit,False,1,43265.0
-9.11544e+18_-6.69982e+18,RI,ho4,1400.0,True,False,1.0,10.0,3,0,24.0,debit,False,1,40455.0
-8.94002e+18_3.66473e+18,CT,ho6,952.0,True,False,1.0,30.0,3,0,40.0,credit,False,0,32556.0
-8.90579e+18_2.76333e+17,IA,ho4,1099.0,True,False,0.0,-1,2,0,33.0,debit,False,2,44197.0
-9.18527e+18_-1.69972e+18,CT,ho4,2011.5,False,False,1.0,1.0,1,0,32.0,credit,False,1,38614.0
-8.85641e+18_-6.9211e+18,WI,ho4,1099.0,True,False,1.0,30.0,3,0,24.0,debit,False,1,49514.0
-8.83897e+18_9.19511e+18,NM,ho4,1099.0,False,False,1.0,-1,1,1,22.0,credit,False,2,55707.0
-8.97464e+18_4.60284e+18,IN,ho4,1099.0,True,False,1.0,30.0,3,0,48.0,debit,False,1,44472.0
-9.16939e+18_-6.40998e+17,IA,ho4,1099.0,True,False,1.0,-1,6,0,22.0,debit,False,2,42941.0
-8.98871e+18_1.74073e+17,AR,ho4,1099.0,True,False,0.0,-1,2,0,24.0,debit,False,2,63575.0
-9.18758e+18_-7.43597e+18,AR,ho4,1099.0,False,False,1.0,-1,1,0,20.0,debit,False,2,42496.0
-8.91726e+18_-1.11594e+18,CT,ho4,2011.5,True,False,0.0,1.0,3,0,25.0,debit,False,1,72218.0
-8.95134e+18_1.26195e+18,AR,ho4,1099.0,True,True,0.0,-1,1,0,23.0,credit,False,2,37113.0
-9.04095e+18_-4.29058e+18,IA,ho4,1099.0,True,True,1.0,-1,3,1,24.0,credit,False,2,93438.0
-9.13433e+18_-8.37161e+18,IA,ho4,1099.0,True,False,1.0,-1,2,1,22.0,credit,False,2,38024.0
-9.05172e+18_-2.06179e+18,CT,ho6,1800.0,True,False,0.0,0.0,4,0,49.0,debit,False,0,75631.0
-8.89969e+18_-7.21345e+18,WI,ho4,1099.0,True,True,1.0,10.0,1,0,28.0,debit,False,1,33395.0
-8.94674e+18_4.23079e+18,WI,ho4,1099.0,True,False,1.0,30.0,1,1,24.0,debit,False,1,36631.0
-9.0265e+18_5.32011e+18,IA,ho4,1099.0,False,False,0.0,-1,2,0,36.0,credit,False,2,38024.0
-8.89425e+18_-1.93449e+18,RI,ho4,1400.0,True,False,1.0,10.0,2,0,19.0,debit,False,1,33661.0
-9.20836e+18_-3.27676e+18,WI,ho4,1099.0,True,False,1.0,30.0,4,0,33.0,credit,False,1,52570.0
-8.9242e+18_-6.709e+18,NM,ho4,1099.0,False,True,1.0,-1,1,0,21.0,debit,False,2,65635.0
-8.89716e+18_-5.5513e+18,IA,ho4,1099.0,True,False,1.0,-1,3,0,21.0,debit,False,2,53042.0
-9.02347e+18_2.95631e+18,CT,ho4,2011.5,True,False,1.0,20.0,4,0,44.0,debit,False,1,58073.0
-8.98563e+18_-6.23379e+18,WI,ho4,1099.0,False,False,1.0,1.0,1,0,25.0,credit,False,1,60195.0
-8.95974e+18_-6.29226e+18,RI,ho4,1400.0,True,True,1.0,10.0,2,0,19.0,debit,False,1,45042.0
-8.94954e+18_-8.67038e+18,NM,ho4,1099.0,True,False,1.0,-1,1,0,20.0,debit,False,2,46470.0
-8.98548e+18_8.90851e+18,CT,ho4,2011.5,True,False,1.0,30.0,4,0,29.0,debit,False,1,105930.0
-9.12984e+18_5.86162e+18,WI,ho4,1099.0,True,False,0.0,0.0,1,0,23.0,credit,False,1,28218.0
-8.94608e+18_-8.431e+18,WI,ho4,1099.0,True,True,1.0,3.0,1,0,29.0,debit,True,1,58646.0
-8.95603e+18_8.44312e+18,CT,ho4,2011.5,False,False,1.0,1.0,1,1,26.0,credit,False,1,38614.0
-8.90945e+18_-7.37224e+17,NM,ho4,1099.0,True,True,1.0,-1,2,0,19.0,debit,False,2,36894.0
-8.8221e+18_3.88926e+18,WI,ho4,1099.0,True,False,1.0,30.0,1,0,19.0,debit,False,1,30019.0
-9.07497e+18_-6.51188e+17,NM,ho4,1099.0,True,False,1.0,-1,1,1,43.0,debit,False,2,41863.0
-9.00567e+18_6.32313e+18,RI,ho4,1400.0,False,False,1.0,10.0,2,0,24.0,debit,False,1,33661.0
-8.91447e+18_8.70359e+18,WI,ho4,1099.0,True,False,0.0,1.0,1,1,40.0,credit,False,1,28218.0
-9.04038e+18_2.12851e+18,WI,ho4,1099.0,False,False,1.0,2.0,1,0,25.0,credit,False,1,60195.0
-9.00583e+18_-1.34014e+18,WI,ho4,1099.0,True,True,1.0,30.0,1,0,21.0,credit,False,1,36631.0
-9.10887e+18_-6.66125e+18,CT,ho4,2011.5,False,False,0.0,30.0,3,0,47.0,debit,False,1,60906.0
-8.96242e+18_2.30482e+17,AR,ho4,1099.0,False,False,1.0,-1,5,0,42.0,debit,False,2,31335.0
-8.94054e+18_5.25665e+18,CT,ho4,2011.5,True,False,1.0,2.0,3,0,35.0,debit,False,1,70553.0
-9.00393e+18_3.96616e+18,NM,ho4,1099.0,False,True,1.0,-1,1,0,24.0,credit,False,2,67414.0
-9.16282e+18_2.9707e+18,WI,ho4,1099.0,True,False,1.0,1.0,1,0,30.0,debit,False,1,33597.0
-8.87995e+18_-5.39478e+18,WI,ho4,1099.0,False,False,0.0,2.0,1,0,22.0,debit,False,1,38658.0
-8.81394e+18_-8.31234e+18,IA,ho4,1099.0,False,False,1.0,-1,3,0,21.0,debit,False,2,66508.0
-8.87288e+18_5.11535e+18,RI,ho6,1400.0,False,False,1.0,1.0,2,0,53.0,debit,False,0,65317.0
-9.08937e+18_-4.96389e+18,WI,ho4,1099.0,True,False,0.0,30.0,3,0,23.0,debit,False,1,53868.0
-9.00874e+18_-5.07853e+18,AR,ho4,1099.0,False,False,0.0,-1,1,0,25.0,debit,False,2,43679.0
-8.90678e+18_1.53101e+18,NM,ho4,1099.0,False,False,1.0,-1,2,0,27.0,debit,False,2,62632.0
-8.90923e+18_5.304e+18,WI,ho4,1099.0,True,True,1.0,10.0,3,1,48.0,debit,False,1,71393.0
-9.11401e+18_8.84477e+18,AZ,ho4,860.0,False,False,0.0,-1,3,0,39.0,debit,False,2,46365.0
-9.07159e+18_5.12606e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,68.0,credit,False,2,48415.0
-8.84036e+18_6.4297e+18,AZ,ho4,860.0,False,False,0.0,-1,1,0,62.0,debit,False,2,84521.0
-9.11505e+18_7.84232e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,40.0,debit,False,2,37497.0
-9.10955e+18_-4.28073e+17,AZ,ho4,860.0,True,False,1.0,-1,1,0,22.0,debit,False,2,47554.0
-9.17127e+18_4.97915e+18,AZ,ho4,860.0,True,False,1.0,-1,2,1,23.0,debit,False,2,32300.0
-9.19254e+18_5.32824e+18,AZ,ho4,860.0,False,False,0.0,-1,2,0,19.0,credit,False,2,32300.0
-9.10269e+18_5.09269e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,18.0,credit,False,2,32300.0
-9.05404e+18_7.56875e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,36.0,debit,False,2,53981.0
-9.07218e+18_-5.96512e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,18.0,debit,False,2,41298.0
-8.85123e+18_5.47184e+17,AZ,ho4,860.0,False,False,0.0,-1,2,0,20.0,debit,False,2,51783.0
-8.92078e+18_-9.08556e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,27.0,credit,False,2,37921.0
-8.83315e+18_5.65066e+18,AZ,ho4,860.0,True,True,1.0,-1,2,0,22.0,credit,False,2,60548.0
-8.82098e+18_-1.40004e+18,AZ,ho4,860.0,True,True,0.0,-1,2,0,30.0,debit,False,2,60548.0
-9.1643e+18_7.85572e+18,AZ,ho4,860.0,False,False,0.0,-1,1,0,59.0,debit,False,2,46390.0
-8.9995e+18_8.32978e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,22.0,debit,False,2,26856.0
-8.80525e+18_-4.0942e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,38.0,credit,False,2,32300.0
-9.0896e+18_8.06884e+18,AZ,ho4,860.0,True,False,0.0,-1,1,0,32.0,debit,False,2,26856.0
-9.03498e+18_1.58464e+17,AZ,ho4,860.0,False,False,1.0,-1,8,0,24.0,credit,False,2,52739.0
-9.16275e+18_-1.5793e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,23.0,credit,False,2,51783.0
-9.05661e+18_5.24716e+18,AZ,ho4,860.0,True,True,0.0,-1,2,0,26.0,credit,False,2,32300.0
-8.84068e+18_1.52027e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,36.0,debit,False,2,39633.0
-9.13493e+18_3.96887e+17,AZ,ho4,860.0,False,False,0.0,-1,2,0,23.0,debit,False,2,60371.0
-8.94365e+18_2.67439e+18,AZ,ho4,860.0,True,True,1.0,-1,2,0,29.0,credit,False,2,86359.0
-9.17689e+18_-5.1353e+18,AZ,ho4,860.0,True,True,0.0,-1,1,0,74.0,debit,False,2,48559.0
-9.13922e+18_-7.56403e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,49.0,debit,False,2,48559.0
-9.17553e+18_3.72395e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,22.0,debit,False,2,46390.0
-9.11992e+18_3.53689e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,23.0,debit,False,2,37261.0
-9.13099e+18_-8.85619e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,27.0,debit,False,2,51783.0
-8.95091e+18_-6.51457e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,26.0,debit,False,2,67842.0
-8.9247e+18_9.74323e+17,AZ,ho4,860.0,True,False,1.0,-1,2,0,19.0,credit,False,2,63820.0
-9.00277e+18_7.73606e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,20.0,debit,False,2,100720.0
-8.98126e+18_-6.58434e+18,AZ,ho4,860.0,False,False,0.0,-1,3,0,26.0,debit,False,2,46365.0
-9.07445e+18_-2.43037e+18,AZ,ho4,860.0,True,False,0.0,-1,1,0,24.0,credit,False,2,26856.0
-8.93365e+18_5.38571e+17,AZ,ho4,860.0,True,False,1.0,-1,2,0,23.0,debit,False,2,53981.0
-8.86242e+18_-8.18639e+18,AZ,ho4,860.0,True,True,1.0,-1,2,0,20.0,debit,False,2,32300.0
-9.10802e+18_2.07294e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,18.0,credit,False,2,32300.0
-9.15466e+18_-2.63715e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,39.0,credit,False,2,48166.0
-8.85875e+18_4.70103e+18,AZ,ho4,860.0,False,True,0.0,-1,2,0,36.0,debit,False,2,46390.0
-9.21086e+18_-5.99656e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,27.0,debit,False,2,92589.0
-8.93717e+18_3.48519e+18,AZ,ho4,860.0,True,False,0.0,-1,1,1,22.0,debit,False,2,31617.0
-9.14552e+18_1.62321e+18,AZ,ho4,860.0,True,False,0.0,-1,3,0,26.0,debit,False,2,72392.0
-9.01883e+18_-3.78726e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,23.0,credit,False,2,47554.0
-9.15266e+18_4.34074e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,23.0,credit,False,2,66649.0
-8.87678e+18_3.50792e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,19.0,debit,False,2,52739.0
-9.0042e+18_2.7461e+18,AZ,ho4,860.0,False,False,1.0,-1,1,0,21.0,debit,True,2,31617.0
-9.10296e+18_-4.11497e+18,AZ,ho4,860.0,False,False,1.0,-1,3,0,39.0,debit,False,2,98844.0
-9.17127e+18_1.94273e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,23.0,debit,False,2,115169.0
-9.116e+18_1.49387e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,24.0,debit,False,2,101546.0
-9.12004e+18_-5.37552e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,25.0,credit,False,2,37696.0
-8.87678e+18_-7.58633e+18,AZ,ho4,860.0,True,False,0.0,-1,2,1,19.0,debit,False,2,52739.0
-9.10962e+18_5.54667e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,28.0,debit,False,2,58823.0
-9.16855e+18_3.04857e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,30.0,debit,False,2,48999.0
-8.89151e+18_-3.49477e+18,AZ,ho4,860.0,True,True,1.0,-1,3,0,27.0,credit,False,2,46365.0
-9.20536e+18_-2.16217e+18,AZ,ho4,860.0,False,False,1.0,-1,2,0,28.0,debit,False,2,55156.0
-8.84175e+18_4.50106e+17,AZ,ho4,860.0,False,False,1.0,-1,1,0,21.0,debit,False,2,77874.0
-8.86148e+18_1.42756e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,44.0,debit,False,2,37261.0
-8.90727e+18_-9.10966e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,26.0,debit,False,2,37696.0
-8.80648e+18_-7.46425e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,31.0,debit,False,2,37497.0
-9.04136e+18_-4.04408e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,49.0,debit,False,2,40744.0
-9.01307e+18_-7.42832e+18,AZ,ho4,860.0,False,False,0.0,-1,2,0,45.0,debit,False,2,60756.0
-9.18858e+18_3.05938e+18,AZ,ho4,860.0,True,False,1.0,-1,4,0,54.0,debit,False,2,85711.0
-9.00433e+18_-1.54592e+18,AZ,ho4,860.0,True,False,0.0,-1,3,0,25.0,debit,False,2,48856.0
-9.00277e+18_-3.24164e+18,AZ,ho4,860.0,False,False,1.0,-1,2,1,20.0,debit,False,2,51763.0
-9.09089e+18_5.63247e+18,AZ,ho4,860.0,True,False,1.0,-1,5,0,34.0,debit,False,2,67000.0
-8.81804e+18_-1.3539e+18,AZ,ho4,860.0,True,False,1.0,-1,3,0,34.0,debit,False,2,43524.0
-8.81227e+18_6.70322e+18,AZ,ho4,860.0,False,False,0.0,-1,2,0,19.0,debit,False,2,32300.0
-9.08683e+18_-6.02755e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,23.0,credit,False,2,49332.0
-8.92803e+18_-4.25248e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,21.0,debit,False,2,51935.0
-9.03432e+18_5.50241e+18,AZ,ho4,860.0,True,False,1.0,-1,2,0,19.0,debit,False,2,37696.0
-9.04736e+18_-5.75109e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,27.0,debit,False,2,40744.0
-9.06985e+18_-8.42038e+17,AZ,ho4,860.0,True,False,1.0,-1,2,0,43.0,debit,False,2,122411.0
-8.83435e+18_8.18115e+18,AZ,ho4,860.0,True,False,0.0,-1,2,0,30.0,debit,False,2,32300.0
-9.22055e+18_-8.23474e+18,AZ,ho4,860.0,True,False,1.0,-1,1,0,26.0,debit,False,2,49332.0
-8.90594e+18_1.52033e+18,AZ,ho4,860.0,False,False,0.0,-1,2,0,25.0,debit,False,2,60548.0
